battery_id,discharge_cycle_num,ambient_temperature,capacity_ahr,SOH,RUL,is_censored,capacity_fade_rate,SOH_rolling_mean,SOH_rolling_std,temperature_stress_factor,cycle_normalized,Re_norm,Rct_norm
B0005,1,24.0,1.8564874208181574,100.55029091401708,124,False,,100.55029091401708,0.0,1.0,0.008,,
B0005,2,24.0,1.846327249719927,100.0,123,False,,100.27514545700853,0.38911443692681763,1.0,0.016,,
B0005,3,24.0,1.8353491942234077,99.40541117517576,122,False,,99.98523402973096,0.5725826835583061,1.0,0.024,,
B0005,4,24.0,1.8352625275821128,99.40071717299885,121,False,,99.83910481554793,0.5513458762805311,1.0,0.032,,
B0005,5,24.0,1.8346455082120419,99.36729842937339,120,False,-0.005474854735004547,99.74474353831302,0.5220219915632621,1.0,0.04,,
B0005,6,24.0,1.8356616600675495,99.42233481881419,119,False,-0.0022034865316118537,99.51915231927244,0.26954204498871404,1.0,0.048,,
B0005,7,24.0,1.8351461429226603,99.39441359602081,118,False,-6.970116057200406e-07,99.3980350384766,0.02006199483646092,1.0,0.056,,
B0005,8,24.0,1.8257567905665537,98.88587144253579,117,False,-0.0018510839320498953,99.2941270919486,0.22906482128612224,1.0,0.064,,
B0005,9,24.0,1.8247738529891333,98.832633990856,116,False,-0.0029648179946809654,99.18051045552004,0.29451379679670464,1.0,0.072,,
B0005,10,24.0,1.824613268496936,98.82393648112571,115,False,-0.003246907307475163,99.0718380658705,0.30828571029681934,1.0,0.08,,
B0005,11,24.0,1.8246195526864504,98.82427684275528,114,False,-0.002219670254203713,98.95222647065872,0.24852778190453273,1.0,0.088,,
B0005,12,24.0,1.8142019357673917,98.26004225646302,113,False,-0.0023264009901005603,98.72535220274717,0.26138769044144117,1.0,0.096,,
B0005,13,24.0,1.8137521577549054,98.2356815689113,112,False,-0.003245472319799769,98.59531422802226,0.3173151539886514,1.0,0.104,,
B0005,14,24.0,1.8134404914735822,98.218801230858,111,False,-0.0033212948978252697,98.47254767602266,0.32126268984904033,1.0,0.112,,
B0005,15,24.0,1.8025980036306504,97.63155496427245,110,False,-0.004480454240540977,98.23407137265201,0.42198304944473725,1.0,0.12,,
B0005,16,24.0,1.80210690024615,97.60495602930169,109,False,-0.0035344225166735505,97.9902072099613,0.3399903473443967,1.0,0.128,,
B0005,17,24.0,1.802579500826209,97.63055282315992,108,False,-0.0033678905084824277,97.86430932330066,0.3315353229469949,1.0,0.136,,
