battery_id,cycle_index,discharge_cycle_num,date,ambient_temperature,capacity_ahr,min_voltage,max_voltage,avg_voltage,avg_current,avg_temp_measured,duration_seconds,is_outlier,is_censored
B0005,1,1,2008-04-02 15:25:41,24.0,1.8564874208181574,2.612467347907089,4.191491807505295,3.5298286688693397,-1.8187019641679727,32.572328114029,3690.234,False,False
B0005,3,2,2008-04-02 19:43:48,24.0,1.846327249719927,2.587208728940726,4.189773213846608,3.5373201277859714,-1.8175598506612867,32.72523522519307,3672.344,False,False
B0005,5,3,2008-04-03 00:01:06,24.0,1.8353491942234077,2.6519168938437794,4.188186735991303,3.5437367282719,-1.8164865418840956,32.64286193755933,3651.641,False,False
B0005,7,4,2008-04-03 04:16:37,24.0,1.8352625275821128,2.592947964776547,4.188461118855572,3.5436661072601456,-1.8255891938692528,32.51487646204882,3631.563,False,False
B0005,9,5,2008-04-03 08:33:25,24.0,1.8346455082120419,2.547419651124539,4.188298524761055,3.5423432526672167,-1.8261139590277586,32.38234901543077,3629.172,False,False
B0005,11,6,2008-04-03 12:55:10,24.0,1.8356616600675495,2.5209480504077413,4.188815807948604,3.5413347346347575,-1.8168108743168803,32.43418218230641,3652.281,False,False
B0005,13,7,2008-04-03 17:17:16,24.0,1.8351461429226603,2.487927319492314,4.18839163793879,3.5410250495075215,-1.816791144707133,32.480416444757985,3650.828,False,False
B0005,15,8,2008-04-03 21:28:14,24.0,1.8257567905665537,2.6652049047458775,4.188927891511958,3.554133296801584,-1.8443412120754061,32.41046186109587,3572.453,False,False
B0005,17,9,2008-04-04 01:38:15,24.0,1.8247738529891333,2.6038584726333673,4.189029250882121,3.5529355991467955,-1.853972745505648,32.3461408313,3550.594,False,False
B0005,19,10,2008-04-04 05:48:08,24.0,1.824613268496936,2.552853984885676,4.189223427076418,3.5512057319376997,-1.8535899338510957,32.27679750791685,3551.25,False,False
B0005,21,11,2008-04-04 09:57:19,24.0,1.8246195526864504,2.4724483018527317,4.188916055911241,3.549292319740949,-1.863380178294828,32.15709350345252,3530.25,False,False
B0005,24,12,2008-04-04 17:56:27,24.0,1.8142019357673917,2.64956413267546,4.189876247266316,3.559759220648976,-1.872968810287894,32.36407129853099,3491.016,False,False
B0005,26,13,2008-04-04 22:01:54,24.0,1.8137521577549054,2.5724981777366227,4.189286794768804,3.558081969139198,-1.8826095043160833,32.3181954403762,3470.281,False,False
B0005,28,14,2008-04-05 02:20:26,24.0,1.8134404914735822,2.5249886697730286,4.188837765892728,3.555692244172496,-1.882536787636365,32.15709029211502,3470.0,False,False
B0005,30,15,2008-04-05 06:25:01,24.0,1.8025980036306504,2.694621861688723,4.189110301768517,3.562746818017503,-1.8817935155260215,32.04407000314609,3450.297,False,False
B0005,32,16,2008-04-05 10:30:32,24.0,1.80210690024615,2.64010141737067,4.18921207304098,3.5614521756489204,-1.8921861285036712,31.931593674911532,3429.407,False,False
